,Facility Name,CMS Certification Number (CCN),City,state,State Abbr,Zip Code,Lat,Long,VAT Catheter Measure Score,National Average VAT Catheter Measure Score,VAT Fistula Measure Score,National Average Fistula Measure Score,Vascular Access Combined Measure Score,National Average Vascular Access Combined Measure Score,Kt/V Comprehensive Measure Score,National Average Kt/V Comprehensive Measure Score,Hypercalcemia Measure Score,National Average Hypercalcemia Measure Score,NHSN Influenza Measure Score,National Average NHSN Influenza Measure Score,NHSN BSI Measure Score,National Average NHSN BSI Measure Score,NHSN Combined Measure Score,National Average NHSN Combined Measure Score,ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score,Mineral Metabolism Measure Score,National Avg Mineral Metabolism Measure Score,Anemia Management Measure Score,National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,National Average SRR Measure Score,Standardized Transfusion Ratio (STrR) Measure Score,National Average STrR Measure Score,Clinical Depression Screening and Follow-up Measure Score,National Average Clinical Depression Screening and Follow-up Measure Score,Pain Assessment and Follow-up Measure Score,National Average Pain Assessment and Follow-up Measure Score,Total Performance Score,PY2019 Payment Reduction Percentage,CMS Certification Date,FacilityAge
1026,DAVITA - ILLINI RENAL DIALYSIS,142633,CHAMPAIGN,Illinois,IL,61820,40.11,-88.26,4,5,3,5,4,5,6,8,6,8,10,9,7,6,8,7,7,5,3,9,10,10,4,5,4,5,10,10,10,10,61,No Reduction,2/3/2003,5810 days 00:00:00.000000000
1027,FMC - PRAIRIE,142569,CHICAGO,Illinois,IL,60616,41.83,-87.68,2,5,0,5,1,5,9,8,9,8,10,9,10,6,10,7,4,5,10,9,10,10,1,5,6,5,10,10,10,10,59,0.50%,1/1/1988,11322 days 00:00:00.000000000
1028,DAVITA - MT VERNON DIALYSIS,142541,MOUNT VERNON,Illinois,IL,62864,38.31,-88.91,8,5,8,5,8,5,9,8,10,8,10,9,7,6,8,7,8,5,9,9,10,10,4,5,4,5,10,10,10,10,76,No Reduction,12/5/1988,10983 days 00:00:00.000000000
1029,DAVITA - JACKSONVILLE DIALYSIS,142581,JACKSONVILLE,Illinois,IL,62650,39.72,-90.23,7,5,3,5,5,5,10,8,10,8,10,9,7,6,8,7,9,5,10,9,10,10,3,5,0,5,10,10,10,10,71,No Reduction,1/1/2000,6939 days 00:00:00.000000000
1030,FMC - NAPERBROOK,142765,NAPERVILLE,Illinois,IL,60565,41.76,-88.15,2,5,8,5,5,5,10,8,9,8,10,9,6,6,8,7,5,5,9,9,10,10,0,5,1,5,10,10,10,10,59,0.50%,1/22/2014,1804 days 00:00:00.000000000
1031,DAVITA - LAKE COUNTY DIALYSIS SERVICES INC,142552,VERNON HILLS,Illinois,IL,60061,42.23,-87.96,6,5,8,5,7,5,9,8,7,8,10,9,7,6,8,7,6,5,10,9,10,10,6,5,7,5,10,10,10,10,74,No Reduction,1/11/1991,10216 days 00:00:00.000000000
1032,DAVITA - TAYLORVILLE DIALYSIS,142587,TAYLORVILLE,Illinois,IL,62568,39.52,-89.26,6,5,6,5,6,5,10,8,6,8,10,9,6,6,8,7,6,5,10,9,10,10,3,5,10,5,10,10,10,10,73,No Reduction,10/25/1996,8102 days 00:00:00.000000000
1033,SUN HEALTH INC,142553,JOLIET,Illinois,IL,60435,41.52,-88.12,7,5,10,5,8,5,9,8,6,8,10,9,7,6,8,7,6,5,9,9,10,10,1,5,9,5,10,10,9,10,70,No Reduction,10/25/1996,8102 days 00:00:00.000000000
1034,DAVITA - WEST JOLIET,142742,JOLIET,Illinois,IL,60435,41.52,-88.12,9,5,8,5,9,5,10,8,9,8,10,9,1,6,5,7,6,5,9,9,10,10,6,5,7,5,10,10,10,10,75,No Reduction,11/27/2012,2225 days 00:00:00.000000000
1035,DAVITA - ADAMS COUNTY DIALYSIS,142711,QUINCY,Illinois,IL,62301,39.93,-91.38,5,5,1,5,3,5,8,8,9,8,10,9,6,6,8,7,5,5,10,9,10,10,5,5,6,5,10,10,10,10,64,No Reduction,10/1/2009,3378 days 00:00:00.000000000
1036,DAVITA - MACON COUNTY DIALYSIS,142584,DECATUR,Illinois,IL,62526,39.85,-88.93,4,5,7,5,5,5,9,8,10,8,10,9,9,6,9,7,5,5,9,9,10,10,4,5,10,5,10,10,10,10,73,No Reduction,1/1/1998,7669 days 00:00:00.000000000
1037,TRI CITIES DIALYSIS LLC,142614,GENEVA,Illinois,IL,60134,41.88,-88.31,0,5,9,5,4,5,9,8,9,8,10,9,3,6,6,7,7,5,10,9,10,10,6,5,7,5,10,10,10,10,70,No Reduction,3/5/2001,6510 days 00:00:00.000000000
1038,FMC - PEORIA NORTH,142613,PEORIA,Illinois,IL,61615,40.74,-89.6,10,5,6,5,8,5,7,8,9,8,10,9,5,6,7,7,1,5,10,9,10,10,6,5,5,5,10,10,10,10,61,No Reduction,3/19/2001,6496 days 00:00:00.000000000
1039,FMC - AUSTIN COMMUNITY KIDNEY CENTER,142653,CHICAGO,Illinois,IL,60651,41.83,-87.68,8,5,5,5,7,5,4,8,10,8,10,9,10,6,10,7,2,5,8,9,10,10,3,5,5,5,10,10,10,10,58,0.50%,10/12/2004,5193 days 00:00:00.000000000
1040,DAVITA - METRO EAST DIALYSIS,142527,BELLEVILLE,Illinois,IL,62226,38.53,-90,7,5,1,5,4,5,7,8,8,8,10,9,7,6,8,7,2,5,10,9,10,10,3,5,1,5,10,10,10,10,51,0.50%,9/12/1982,13259 days 00:00:00.000000000
1041,FMC - NAPERVILLE NORTH DIALYSIS CENTER,142678,NAPERVILLE,Illinois,IL,60563,41.76,-88.15,0,5,3,5,1,5,10,8,10,8,10,9,7,6,8,7,8,5,10,9,10,10,6,5,8,5,10,10,10,10,74,No Reduction,10/31/2006,4444 days 00:00:00.000000000
1042,FOX VALLEY DIALYSIS LTD,142568,AURORA,Illinois,IL,60504,41.76,-88.29,6,5,10,5,8,5,6,8,9,8,10,9,7,6,8,7,4,5,10,9,10,10,5,5,3,5,10,10,10,10,64,No Reduction,10/25/1996,8102 days 00:00:00.000000000
1043,FMC - AURORA DIALYSIS CENTER,142515,AURORA,Illinois,IL,60506,41.76,-88.29,3,5,8,5,5,5,10,8,10,8,10,9,3,6,6,7,5,5,10,9,10,10,2,5,9,5,10,10,10,10,67,No Reduction,7/1/1996,8218 days 00:00:00.000000000
1044,DAVITA - STONE CREST DIALYSIS,142615,ROCKFORD,Illinois,IL,61104,42.27,-89.06,8,5,4,5,6,5,10,8,9,8,10,9,4,6,6,7,6,5,10,9,10,10,0,5,5,5,10,10,10,10,63,No Reduction,6/4/2001,6419 days 00:00:00.000000000
1045,FMC - GLENVIEW DIALYSIS CENTER,142551,GLENVIEW,Illinois,IL,60025,42.07,-87.81,3,5,8,5,5,5,10,8,10,8,10,9,7,6,8,7,5,5,10,9,10,10,8,5,10,5,10,10,10,10,78,No Reduction,11/28/1990,10260 days 00:00:00.000000000
1046,FMC - UPTOWN,142692,CHICAGO,Illinois,IL,60640,41.83,-87.68,6,5,0,5,3,5,10,8,9,8,10,9,5,6,7,7,3,5,10,9,10,10,2,5,7,5,10,10,10,10,59,0.50%,7/30/2008,3806 days 00:00:00.000000000
1047,DAVITA - MATTOON DIALYSIS,142585,CHARLESTON,Illinois,IL,61920,39.48,-88.17,10,5,0,5,5,5,8,8,3,8,10,9,5,6,7,7,6,5,2,9,10,10,7,5,10,5,10,10,10,10,68,No Reduction,1/1/1998,7669 days 00:00:00.000000000
1048,FMC - MERRIONETTE PARK,142667,MERRIONETTE PARK,Illinois,IL,60803,41.67,-87.73,4,5,3,5,4,5,9,8,10,8,0,9,7,6,8,7,2,5,10,9,10,10,2,5,6,5,10,10,10,10,56,0.50%,7/11/2005,4921 days 00:00:00.000000000
1049,FMC - ALSIP DIALYSIS CENTER,142630,ALSIP,Illinois,IL,60803,41.67,-87.73,3,5,5,5,4,5,10,8,9,8,10,9,9,6,9,7,5,5,10,9,10,10,4,5,10,5,10,10,10,10,72,No Reduction,1/30/2003,5814 days 00:00:00.000000000
1050,DAVITA - EFFINGHAM DIALYSIS,142580,EFFINGHAM,Illinois,IL,62401,39.11,-88.55,9,5,6,5,8,5,9,8,10,8,10,9,8,6,9,7,1,5,7,9,10,10,7,5,9,5,10,10,10,10,72,No Reduction,1/1/1998,7669 days 00:00:00.000000000
1051,FMC - WEST BELMONT,142523,CHICAGO,Illinois,IL,60641,41.83,-87.68,3,5,4,5,3,5,10,8,10,8,10,9,8,6,9,7,7,5,10,9,10,10,8,5,8,5,10,10,10,10,78,No Reduction,12/3/1979,14273 days 00:00:00.000000000
1052,FMC - ROLLING MEADOWS,142525,ROLLING MEADOWS,Illinois,IL,60008,42.07,-88.02,5,5,8,5,6,5,10,8,10,8,10,9,8,6,9,7,8,5,10,9,10,10,6,5,10,5,10,10,10,10,84,No Reduction,1/1/1980,14244 days 00:00:00.000000000
1053,DAVITA - KENWOOD DIALYSIS,142717,CHICAGO,Illinois,IL,60653,41.83,-87.68,7,5,3,5,5,5,9,8,8,8,10,9,6,6,8,7,4,5,10,9,10,10,7,5,7,5,10,10,10,10,69,No Reduction,5/25/2000,6794 days 00:00:00.000000000
1054,FMC - WILLIAMSON COUNTY,142627,MARION,Illinois,IL,62959,37.73,-88.94,1,5,4,5,2,5,10,8,9,8,10,9,6,6,8,7,5,5,10,9,10,10,2,5,3,5,10,10,10,10,59,0.50%,7/11/2002,6017 days 00:00:00.000000000
1055,LOYOLA CENTER FOR DIALYSIS,142329,MAYWOOD,Illinois,IL,60153,41.88,-87.84,6,5,2,5,4,5,8,8,10,8,10,9,5,6,7,7,8,5,10,9,10,10,4,5,8,5,10,10,10,10,71,No Reduction,7/2/1969,18079 days 00:00:00.000000000
1056,FMC - BERWYN,142533,BERWYN,Illinois,IL,60402,41.84,-87.79,2,5,2,5,2,5,10,8,10,8,10,9,10,6,10,7,3,5,10,9,10,10,7,5,6,5,10,10,10,10,68,No Reduction,6/11/1985,12256 days 00:00:00.000000000
1057,FMC - NEOMEDICA - ROUND LAKE,142616,ROUND LAKE,Illinois,IL,60073,42.34,-88.11,0,5,3,5,1,5,10,8,10,8,10,9,7,6,8,7,1,5,10,9,10,10,3,5,10,5,10,10,10,10,58,0.50%,1/8/2001,6566 days 00:00:00.000000000
1058,DAVITA -  GRANITE CITY DIALYSIS CENTER,142537,GRANITE CITY,Illinois,IL,62040,38.71,-90.12,8,5,6,5,7,5,9,8,8,8,10,9,9,6,9,7,9,5,10,9,10,10,2,5,7,5,10,10,10,10,77,No Reduction,4/1/1988,11231 days 00:00:00.000000000
1059,DAVITA - NEWBURGH DIALYSIS,152644,NEWBURGH,Indiana,IN,47630,37.94,-87.4,10,5,10,5,10,5,9,8,9,8,10,9,0,6,4,7,7,5,10,9,10,10,10,5,10,5,10,10,10,10,83,No Reduction,2/2/2011,2889 days 00:00:00.000000000
1060,DAVITA - AVON DIALYSIS,152645,AVON,Indiana,IN,46234,39.77,-86.14,5,5,6,5,5,5,10,8,9,8,10,9,4,6,6,7,4,5,7,9,10,10,6,5,6,5,10,10,10,10,66,No Reduction,4/19/2011,2813 days 00:00:00.000000000
1061,FMC - TERRE HAUTE SOUTH,152591,TERRE HAUTE,Indiana,IN,47802,39.47,-87.38,1,5,0,5,1,5,8,8,9,8,10,9,10,6,10,7,4,5,9,9,10,10,0,5,3,5,10,10,10,10,54,0.50%,6/20/2006,4577 days 00:00:00.000000000
1062,FMC - GARY DIALYSIS,152501,GARY,Indiana,IN,46408,41.59,-87.34,2,5,0,5,1,5,8,8,10,8,10,9,8,6,9,7,3,5,10,9,10,10,3,5,2,5,10,10,10,10,54,0.50%,10/16/1985,12129 days 00:00:00.000000000
1063,DAVITA - GARY,152521,GARY,Indiana,IN,46408,41.59,-87.34,6,5,5,5,6,5,9,8,9,8,10,9,0,6,4,7,5,5,9,9,10,10,4,5,8,5,10,10,10,10,64,No Reduction,7/30/1992,9650 days 00:00:00.000000000
1064,DAVITA - HAMMOND DIALYSIS,152522,HAMMOND,Indiana,IN,46320,41.62,-87.49,3,5,4,5,3,5,7,8,9,8,10,9,0,6,4,7,2,5,8,9,10,10,5,5,2,5,10,10,10,10,47,1.00%,7/20/1992,9660 days 00:00:00.000000000
1065,FMC - NORTH HAMMOND,152543,HAMMOND,Indiana,IN,46320,41.62,-87.49,5,5,3,5,4,5,10,8,10,8,10,9,7,6,8,7,6,5,10,9,10,10,1,5,3,5,10,10,10,10,64,No Reduction,11/20/1990,10268 days 00:00:00.000000000
1066,FMC - LAWRENCE COUNTY,152594,BEDFORD,Indiana,IN,47421,38.86,-86.49,4,5,0,5,2,5,10,8,10,8,10,9,6,6,8,7,6,5,10,9,10,10,7,5,4,5,10,10,10,10,69,No Reduction,1/1/1988,11322 days 00:00:00.000000000
1067,FMC - KOKOMO,152526,KOKOMO,Indiana,IN,46902,40.47,-86.13,1,5,2,5,1,5,8,8,9,8,10,9,8,6,9,7,9,5,9,9,10,10,7,5,5,5,10,10,10,10,72,No Reduction,6/15/1987,11522 days 00:00:00.000000000
1068,FMC - INDIANAPOLIS,152500,INDIANAPOLIS,Indiana,IN,46208,39.77,-86.14,3,5,1,5,2,5,9,8,10,8,10,9,8,6,9,7,1,5,8,9,9,10,6,5,7,5,10,10,10,10,60,No Reduction,10/1/1981,13605 days 00:00:00.000000000
1069,FMC - GRANT COUNTY DIALYSIS,152516,MARION,Indiana,IN,46952,40.54,-85.66,1,5,0,5,1,5,9,8,10,8,10,9,4,6,6,7,4,5,10,9,10,10,8,5,7,5,10,10,10,10,63,No Reduction,1/1/1986,12052 days 00:00:00.000000000
1070,DAVITA - MICHIGAN CITY,152546,MICHIGAN CITY,Indiana,IN,46360,41.71,-86.87,7,5,9,5,8,5,8,8,5,8,10,9,7,6,8,7,5,5,8,9,10,10,6,5,4,5,10,10,10,10,68,No Reduction,4/1/1997,7944 days 00:00:00.000000000
1071,DCI - INDIANAPOLIS,152547,INDIANAPOLIS,Indiana,IN,46222,39.77,-86.14,0,5,6,5,3,5,6,8,6,8,10,9,0,6,4,7,6,5,10,9,10,10,8,5,9,5,10,10,10,10,62,No Reduction,6/13/1997,7871 days 00:00:00.000000000
1072,DAVITA - WESTVIEW DIALYSIS,152596,INDIANAPOLIS,Indiana,IN,46222,39.77,-86.14,6,5,5,5,6,5,9,8,7,8,10,9,7,6,8,7,4,5,7,9,10,10,6,5,9,5,10,10,10,10,70,No Reduction,12/19/2006,4395 days 00:00:00.000000000
1073,DAVITA - MERRILLVILLE DIALYSIS,152581,MERRILLVILLE,Indiana,IN,46410,41.47,-87.32,4,5,3,5,4,5,9,8,9,8,10,9,7,6,8,7,4,5,6,9,10,10,7,5,8,5,10,10,10,10,69,No Reduction,5/15/2002,6074 days 00:00:00.000000000
1074,FMC - MERRILLVILLE DIALYSIS CENTER,152541,MERRILLVILLE,Indiana,IN,46410,41.47,-87.32,5,5,6,5,5,5,7,8,10,8,10,9,3,6,6,7,3,5,10,9,10,10,4,5,7,5,10,10,10,10,59,0.50%,8/30/1996,8158 days 00:00:00.000000000
1075,FMC - RICHMOND,152509,RICHMOND,Indiana,IN,47374,39.82,-84.88,1,5,1,5,1,5,9,8,9,8,10,9,3,6,6,7,3,5,10,9,10,10,2,5,5,5,10,10,10,10,51,0.50%,1/1/1988,11322 days 00:00:00.000000000
1076,FMC - SOUTHERN INDIANA,152504,CLARKSVILLE,Indiana,IN,47129,38.31,-85.76,1,5,2,5,1,5,8,8,6,8,10,9,9,6,9,7,8,5,10,9,10,10,1,5,0,5,10,10,10,10,57,0.50%,12/23/1986,11696 days 00:00:00.000000000
1077,FMC - NEPHROLOGY  - BLACKTHORN,152542,SOUTH BEND,Indiana,IN,46628,41.67,-86.26,9,5,4,5,7,5,9,8,8,8,10,9,5,6,7,7,3,5,10,9,10,10,5,5,5,5,10,10,10,10,64,No Reduction,2/3/1997,8001 days 00:00:00.000000000
1078,FMC - NEPHROLOGY - ELKHART,152530,ELKHART,Indiana,IN,46517,41.68,-85.96,6,5,5,5,6,5,9,8,9,8,10,9,2,6,5,7,4,5,10,9,10,10,4,5,7,5,10,10,10,10,63,No Reduction,9/9/1994,8879 days 00:00:00.000000000
1079,US RENAL CARE-GREENWOOD RENAL CENTER,152572,GREENWOOD,Indiana,IN,46143,39.61,-86.11,6,5,8,5,7,5,9,8,8,8,10,9,5,6,7,7,7,5,10,9,10,10,6,5,6,5,10,10,10,10,74,No Reduction,4/1/2006,4657 days 00:00:00.000000000
1080,DAVITA - MUNSTER,152549,MUNSTER,Indiana,IN,46321,41.54,-87.5,7,5,7,5,7,5,8,8,2,8,10,9,0,6,4,7,6,5,10,9,10,10,4,5,1,5,10,10,10,10,56,0.50%,6/20/1997,7864 days 00:00:00.000000000
1081,FMC - COLUMBUS BARTHOLOMEW,152558,COLUMBUS,Indiana,IN,47201,39.21,-85.91,1,5,5,5,3,5,10,8,9,8,10,9,8,6,9,7,4,5,10,9,10,10,1,5,3,5,10,10,10,10,59,0.50%,9/1/1998,7426 days 00:00:00.000000000
1082,FMC - EAST CHICAGO DIALYSIS CENTER,152564,EAST CHICAGO,Indiana,IN,46312,41.64,-87.45,5,5,3,5,4,5,10,8,10,8,10,9,6,6,8,7,5,5,10,9,10,10,3,5,9,5,10,10,10,10,69,No Reduction,2/2/2000,6907 days 00:00:00.000000000
1083,FMC - CIRCLE CITY,152593,INDIANAPOLIS,Indiana,IN,46202,39.77,-86.14,0,5,3,5,1,5,9,8,10,8,10,9,8,6,9,7,4,5,10,9,10,10,1,5,9,5,10,10,10,10,61,No Reduction,7/14/2006,4553 days 00:00:00.000000000
1084,FMC - INDIANAPOLIS-EAST,152502,INDIANAPOLIS,Indiana,IN,46219,39.77,-86.14,2,5,0,5,1,5,5,8,10,8,10,9,8,6,9,7,2,5,9,9,10,10,7,5,10,5,10,10,10,10,59,0.50%,8/6/1986,11835 days 00:00:00.000000000
1085,DAVITA - INDY EAST,152661,INDIANAPOLIS,Indiana,IN,46219,39.77,-86.14,3,5,5,5,4,5,5,8,4,8,10,9,7,6,8,7,0,5,4,9,10,10,0,5,0,5,10,10,10,10,36,1.50%,3/25/2014,1742 days 00:00:00.000000000
1086,DAVITA - VINCENNES DIALYSIS,152592,VINCENNES,Indiana,IN,47591,38.67,-87.51,7,5,6,5,7,5,10,8,10,8,10,9,5,6,7,7,7,5,10,9,10,10,4,5,6,5,10,10,10,10,75,No Reduction,7/1/2005,4931 days 00:00:00.000000000
1087,DAVITA - EAST EVANSVILLE DIALYSIS,152569,EVANSVILLE,Indiana,IN,47714,37.98,-87.54,7,5,2,5,5,5,10,8,8,8,10,9,6,6,8,7,2,5,10,9,10,10,6,5,5,5,10,10,10,10,64,No Reduction,1/1/1996,8400 days 00:00:00.000000000
1088,FMC -  LINTON,152577,LINTON,Indiana,IN,47441,39.03,-87.15,5,5,0,5,3,5,7,8,10,8,10,9,10,6,10,7,5,5,10,9,10,10,7,5,10,5,10,10,10,10,72,No Reduction,3/29/2001,6486 days 00:00:00.000000000
1089,FMC - SHADELAND STATION,152585,INDIANAPOLIS,Indiana,IN,46256,39.77,-86.14,5,5,3,5,4,5,9,8,9,8,10,9,7,6,8,7,3,5,10,9,10,10,3,5,8,5,10,10,10,10,63,No Reduction,3/3/2003,5782 days 00:00:00.000000000
1090,DSI - NORTH MUNCIE,152607,MUNCIE,Indiana,IN,47303,40.19,-85.39,5,5,9,5,7,5,9,8,5,8,10,9,10,6,10,7,5,5,10,9,10,10,6,5,7,5,10,10,10,10,74,No Reduction,6/11/1979,14448 days 00:00:00.000000000
1091,DAVITA - JASPER DIALYSIS,152523,JASPER,Indiana,IN,47546,38.39,-86.93,8,5,7,5,8,5,10,8,6,8,10,9,8,6,9,7,8,5,9,9,10,10,6,5,9,5,10,10,10,10,83,No Reduction,8/10/1992,9639 days 00:00:00.000000000
1092,FMC - NORTHEAST INDIANA KIDNEY CTR - FORT WAYNE,152515,FORT WAYNE,Indiana,IN,46804,41.07,-85.13,6,5,0,5,3,5,10,8,10,8,10,9,1,6,5,7,7,5,10,9,10,10,0,5,3,5,10,10,10,10,58,0.50%,1/1/1979,14609 days 00:00:00.000000000
1093,DAVITA - FORT WAYNE WEST,152648,FORT WAYNE,Indiana,IN,46804,41.07,-85.13,8,5,4,5,6,5,8,8,9,8,10,9,6,6,8,7,6,5,8,9,10,10,7,5,9,5,10,10,10,10,75,No Reduction,11/29/2011,2589 days 00:00:00.000000000
1094,FMC - FLOYD COUNTY,152554,NEW ALBANY,Indiana,IN,47150,38.3,-85.82,7,5,6,5,7,5,10,8,9,8,10,9,8,6,9,7,10,5,10,9,10,10,8,5,9,5,10,10,10,10,90,No Reduction,5/30/1998,7520 days 00:00:00.000000000
1095,FMC - GREENFIELD,152566,GREENFIELD,Indiana,IN,46140,39.79,-85.77,2,5,0,5,1,5,10,8,8,8,10,9,7,6,8,7,7,5,9,9,10,10,5,5,3,5,10,10,10,10,65,No Reduction,3/1/2000,6879 days 00:00:00.000000000
1096,FMC-INDIANAPOLIS MIDTOWN,152560,INDIANAPOLIS,Indiana,IN,46205,39.77,-86.14,0,5,2,5,1,5,8,8,10,8,10,9,7,6,8,7,8,5,9,9,10,10,9,5,8,5,10,10,10,10,74,No Reduction,6/14/1999,7140 days 00:00:00.000000000
1097,DSI - DIALYSIS - LA PORTE,152599,LA PORTE,Indiana,IN,46350,41.6,-86.71,9,5,10,5,10,5,10,8,10,8,10,9,7,6,8,7,9,5,10,9,10,10,0,5,5,5,10,10,10,10,79,No Reduction,10/10/2006,4465 days 00:00:00.000000000
1098,FMC - SEYMOUR,152567,SEYMOUR,Indiana,IN,47274,38.95,-85.88,6,5,6,5,6,5,10,8,10,8,10,9,3,6,6,7,8,5,10,9,10,10,10,5,9,5,10,10,10,10,84,No Reduction,4/3/2000,6846 days 00:00:00.000000000
1099,FMC - NEPHROLOGY - MARSHALL COUNTY,152611,PLYMOUTH,Indiana,IN,46563,41.34,-86.31,9,5,5,5,7,5,10,8,10,8,10,9,10,6,10,7,1,5,10,9,10,10,6,5,10,5,10,10,10,10,73,No Reduction,7/18/2007,4184 days 00:00:00.000000000
1100,FMC - DIALYSIS INSTITUTE OF ANDERSON,152510,ANDERSON,Indiana,IN,46016,40.09,-85.68,0,5,2,5,1,5,8,8,10,8,10,9,4,6,6,7,3,5,10,9,10,10,9,5,7,5,10,10,10,10,61,No Reduction,3/15/1988,11248 days 00:00:00.000000000
1101,DAVITA - MARION COUNTY,152512,INDIANAPOLIS,Indiana,IN,46203,39.77,-86.14,3,5,4,5,3,5,10,8,9,8,10,9,6,6,8,7,1,5,9,9,10,10,7,5,7,5,10,10,10,10,62,No Reduction,6/12/1989,10794 days 00:00:00.000000000
1102,DAVITA - NORTH EVANSVILLE DIALYSIS,152536,EVANSVILLE,Indiana,IN,47710,37.98,-87.54,5,5,8,5,6,5,5,8,8,8,10,9,7,6,8,7,5,5,10,9,10,10,5,5,3,5,10,10,10,10,61,No Reduction,1/1/1996,8400 days 00:00:00.000000000
1103,FMC - TERRE HAUTE NORTH,152571,TERRE HAUTE,Indiana,IN,47804,39.47,-87.38,0,5,1,5,0,5,7,8,8,8,10,9,10,6,10,7,3,5,10,9,10,10,2,5,6,5,10,10,10,10,53,0.50%,1/1/1980,14244 days 00:00:00.000000000
1104,FMC - INDIANAPOLIS-NORTH,152525,INDIANAPOLIS,Indiana,IN,46260,39.77,-86.14,0,5,1,5,0,5,8,8,9,8,10,9,8,6,9,7,1,5,6,9,10,10,4,5,3,5,10,10,10,10,49,1.00%,2/1/1993,9464 days 00:00:00.000000000
1105,FMC - NEPHROLOGY  - MISHAWAKA,152520,MISHAWAKA,Indiana,IN,46545,41.66,-86.16,9,5,8,5,9,5,10,8,9,8,10,9,9,6,9,7,6,5,10,9,10,10,1,5,7,5,10,10,10,10,75,No Reduction,1/1/1994,9130 days 00:00:00.000000000
1106,DAVITA - MISHAWAKA DIALYSIS,152655,MISHAWAKA,Indiana,IN,46545,41.66,-86.16,2,5,5,5,3,5,10,8,8,8,10,9,4,6,6,7,5,5,7,9,10,10,8,5,9,5,10,10,10,10,69,No Reduction,5/15/2013,2056 days 00:00:00.000000000
1107,INDIANA DIALYSIS COMPANY,152657,INDIANAPOLIS,Indiana,IN,46227,39.77,-86.14,9,5,10,5,9,5,0,8,6,8,0,9,0,6,0,7,6,5,6,9,9,10,0,5,8,5,10,10,10,10,42,1.00%,11/15/2013,1872 days 00:00:00.000000000
1108,DAVITA - PLAINFIELD,152637,PLAINFIELD,Indiana,IN,46168,39.7,-86.38,0,5,3,5,1,5,5,8,8,8,10,9,4,6,6,7,4,5,7,9,10,10,2,5,1,5,10,10,10,10,43,1.00%,6/5/2009,3496 days 00:00:00.000000000
1109,US RENAL CARE LAFAYETTE DIALYSIS,152635,LAFAYETTE,Indiana,IN,47905,40.41,-86.87,2,5,1,5,2,5,8,8,9,8,10,9,5,6,7,7,7,5,10,9,10,10,1,5,8,5,10,10,10,10,62,No Reduction,10/6/2008,3738 days 00:00:00.000000000
1110,DAVITA - KENDALLVILLE RENAL CARE CENTER,152625,KENDALLVILLE,Indiana,IN,46755,41.44,-85.25,10,5,9,5,10,5,9,8,7,8,10,9,0,6,4,7,6,5,10,9,10,10,5,5,0,5,10,10,10,10,65,No Reduction,6/19/2008,3847 days 00:00:00.000000000
1111,FMC - FISHERS DIALYSIS,152654,FISHERS,Indiana,IN,46037,39.96,-85.94,7,5,8,5,7,5,10,8,8,8,10,9,7,6,8,7,8,5,9,9,10,10,7,5,7,5,10,10,10,10,81,No Reduction,2/1/2013,2159 days 00:00:00.000000000
1112,FMC - HOBART,152631,HOBART,Indiana,IN,46342,41.53,-87.26,8,5,10,5,9,5,8,8,10,8,10,9,4,6,6,7,8,5,10,9,10,10,9,5,5,5,10,10,10,10,80,No Reduction,12/17/2008,3666 days 00:00:00.000000000
1113,FMC - MUNCIE DIALYSIS,152634,MUNCIE,Indiana,IN,47304,40.19,-85.39,0,5,4,5,2,5,9,8,9,8,10,9,6,6,8,7,9,5,10,9,10,10,5,5,9,5,10,10,10,10,75,No Reduction,2/5/2009,3616 days 00:00:00.000000000
1114,DAVITA - PAOLI DIALYSIS,152652,PAOLI,Indiana,IN,47454,38.55,-86.46,5,5,3,5,4,5,10,8,10,8,10,9,5,6,7,7,8,5,9,9,10,10,10,5,5,5,10,10,10,10,78,No Reduction,7/8/2012,2367 days 00:00:00.000000000
1115,DAVITA - FORT WAYNE SOUTH,152647,FORT WAYNE,Indiana,IN,46806,41.07,-85.13,7,5,1,5,4,5,10,8,8,8,10,9,4,6,6,7,4,5,10,9,10,10,2,5,4,5,10,10,10,10,58,0.50%,10/12/2011,2637 days 00:00:00.000000000
1116,DAVITA - HOOSIER HILLS DIALYSIS,152642,BLOOMINGTON,Indiana,IN,47408,39.16,-86.52,10,5,0,5,5,5,10,8,7,8,10,9,0,6,4,7,3,5,7,9,10,10,7,5,5,5,10,10,10,10,60,No Reduction,4/1/2010,3196 days 00:00:00.000000000
1117,DAVITA - SUMMIT CITY DIALYSIS,152653,FORT WAYNE,Indiana,IN,46805,41.07,-85.13,6,5,7,5,6,5,8,8,9,8,10,9,0,6,4,7,1,5,10,9,10,10,1,5,3,5,10,10,10,10,47,1.00%,5/21/2012,2415 days 00:00:00.000000000
1118,FMC - LIBERTY DIALYSIS - HAMMOND,152623,HAMMOND,Indiana,IN,46324,41.62,-87.49,3,5,5,5,4,5,10,8,10,8,10,9,10,6,10,7,7,5,10,9,10,10,0,5,8,5,10,10,10,10,72,No Reduction,5/27/2008,3870 days 00:00:00.000000000
